"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"87","8e6fd560-b45b-4671-9450-14036044949b","Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku","1969-08-06","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000327876","5840962525","","294","","","http://www.awf.gda.pl","rektor@awf.gda.pl","58 554 72 30","/AWFiS/SkrytkaESP","Polska","pomorskie","ul. Kazimierza Górskiego","1","80-336","Gdańsk","PAWEŁ CIĘSZCZYK - Rektor","677a63f4-6a5e-4257-86cf-b9a90f3f0c19",,,,,"Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku","1969-08-06",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1969-08-06","Działająca","1969-08-06","akademicka","1969-08-06","ul. Kazimierza Górskiego 1, 80-336 Gdańsk, woj. pomorskie, Polska","1969-08-06"
"88","eea34b38-b88c-44b7-acb1-5c9a8a9f7d66","Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie","1929-11-29","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000327830","5250011875","","298","","","http://www.awf.edu.pl","iwona.twarowska@awf.edu.pl","22 865 10 80","/RektorAWFWarszawa/SkrytkaESP","Polska","mazowieckie","ul. Marymoncka","34","00-968","Warszawa","BARTOSZ MOLIK - Rektor","9bb44817-3534-4cf2-9ca8-56fd233a1751",,,,,"Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie","1929-11-29",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1929-11-29","Działająca","1929-11-29","akademicka","1929-11-29","ul. Marymoncka 34, 00-968 Warszawa, woj. mazowieckie, Polska","1929-11-29"
"89","69cad015-151b-4fe2-a54c-81c2fd2168e5","Centrum Medyczne Kształcenia Podyplomowego w Warszawie","1971-01-01","Minister Zdrowia","Uczelnia publiczna","Nie","","","","akademicka","","000289093","1180183740","","366","","","http://www.cmkp.edu.pl","dyrektor@cmkp.edu.pl","22 569 37 06","/CMKP/skrytka","Polska","mazowieckie","ul. Marymoncka","99/103","01-813","Warszawa","Ryszard Gellert - Dyrektor generalny","a5821ef8-e7c9-4601-9da4-52a94ca50df5",,,,,"Centrum Medyczne Kształcenia Podyplomowego w Warszawie","1971-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","1971-01-01","Działająca","1971-01-01","akademicka","1971-01-01","ul. Marymoncka 99/103/-, 01-813 Warszawa, woj. mazowieckie, Polska","1971-01-01"
"90","59994595-9abb-48be-99ed-36e7193be253","Chrześcijańska Akademia Teologiczna w Warszawie","1954-10-26","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001962","5251573061","","372","","","http://www.chat.edu.pl","chat@chat.edu.pl","22 831 95 97","/ChAT/skrytka","Polska","mazowieckie","ul. Władysława Broniewskiego","48","00-771","Warszawa","Jerzy Pańkowski - Rektor","",,,,,"Chrześcijańska Akademia Teologiczna w Warszawie","1954-10-26",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1954-10-26","Działająca","1954-10-26","akademicka","1954-10-26","ul. Władysława Broniewskiego 48, 00-771 Warszawa, woj. mazowieckie, Polska","1954-10-26"
"91","58bdce52-e319-4ebc-8565-cf242318e51c","Collegium Civitas w Warszawie","1997-08-13","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","012769984","5252083784","","208","129","","http://www.civitas.edu.pl","rektorat@civitas.edu.pl","22 656 71 78","/COLLEGIUM_CIVITAS/domyslna","Polska","mazowieckie","pl. Plac Defilad","1","00-901","Warszawa","Stanisław Jan Mocek - Rektor","89377fc4-32e7-47a2-9e2e-5d5841983de8",,,,,"Collegium Civitas w Warszawie","1997-08-13",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1997-08-13","Działająca","1997-08-13","akademicka","1997-08-13","pl. Plac Defilad 1, 00-901 Warszawa, woj. mazowieckie, Polska","1997-08-13"
"92","d2d5f7a9-7583-4415-a4b9-516367b9efcb","Gdański Uniwersytet Medyczny","1945-10-08","Minister Zdrowia","Uczelnia publiczna","Nie","","","","akademicka","","000288627","5840955985","","301","","","http://www.gumed.edu.pl/","rektor@gumed.edu.pl","58 349-10-00","/Gdanski_Uniwersytet_Medyczny/Nauka","Polska","pomorskie","ul. Marii Skłodowskiej-Curie","3A","80-210","Gdańsk","Marcin Prof. dr hab. Gruchała - Rektor","bfff8718-ecb7-42f7-8c20-8e662c173d8a",,,,,"Gdański Uniwersytet Medyczny","1945-10-08","Instytut Medycyny Morskiej i Tropikalnej w Gdyni","022a55c5-bc6d-42bf-8c76-8483c402d077","","","","","","Minister Zdrowia","Włączenie","2003-10-01",,,,,,,,,,,"Minister Zdrowia","1945-10-08","Działająca","1945-10-08","akademicka","1945-10-08","ul. Marii Skłodowskiej-Curie 3A, 80-210 Gdańsk, woj. pomorskie, Polska","1945-10-08"
"93","336f05cc-b615-4f3c-94b2-65abc7f54264","Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie","2002-07-08","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","357129941","6762134096","","144","242","","http://www.ka.edu.pl","ahejmej@afm.edu.pl","012 2524618","/kaafm/rektorat","Polska","małopolskie","ul. Gustawa Herlinga-Grudzińskiego","1","30-705","Kraków","Klemens Budzowski - Rektor","a73ea6d9-8e7d-4d61-9608-200e4b09b11b",,,,,"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie","2002-07-08",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2002-07-08","Działająca","2002-07-08","akademicka","2002-07-08","ul. Gustawa Herlinga-Grudzińskiego 1, 30-705 Kraków, woj. małopolskie, Polska","2002-07-08"
"94","2a791fc9-d5ce-41b0-bb08-f24378cfcce1","Lotnicza Akademia Wojskowa","1925-11-01","Minister Obrony Narodowej","Uczelnia publiczna","Nie","","","","akademicka","","060059216","5060034353","","367","","","https://www.law.mil.pl","rektorat@law.mil.pl","261517100","/WSOSP/SkrytkaESP","Polska","lubelskie","ul. Dywizjonu 303","35","08-521","Dęblin","Krzysztof CUR - Rektor","3280faea-6852-4537-a3be-25780fe83faa",,,,,"Lotnicza Akademia Wojskowa","2018-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Obrony Narodowej","1925-11-01","Działająca","1925-11-01","akademicka","1925-11-01","ul. Dywizjonu 303 35, 08-521 Dęblin, woj. lubelskie, Polska","1925-11-01"
"95","2a791fc9-d5ce-41b0-bb08-f24378cfcce1","Lotnicza Akademia Wojskowa","1925-11-01","Minister Obrony Narodowej","Uczelnia publiczna","Nie","","","","akademicka","","060059216","5060034353","","367","","","https://www.law.mil.pl","rektorat@law.mil.pl","261517100","/WSOSP/SkrytkaESP","Polska","lubelskie","ul. Dywizjonu 303","35","08-521","Dęblin","Krzysztof CUR - Rektor","3280faea-6852-4537-a3be-25780fe83faa",,,,,"Wyższa Szkoła Oficerska Sił Powietrznych","1925-11-01",,,,,,,,,,,,,,,,,,,,,"Minister Obrony Narodowej","1925-11-01","Działająca","1925-11-01","akademicka","1925-11-01","ul. Dywizjonu 303 35, 08-521 Dęblin, woj. lubelskie, Polska","1925-11-01"
"96","f4dd5e8d-c071-4ec2-a048-faf9c2aae76d","Lubelska Akademia WSEI","2001-02-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","432260703","7122652693","","107","196","","http://www.wsei.lublin.pl","sekretariat@wsei.lublin.pl","81 749 17 77","/wseilublin/SkrytkaESP","Polska","lubelskie","ul. Projektowa","4","20-209","Lublin","Mariusz Paździor - Pełniący obowiązki Rektora","c7aaa374-72b7-4f42-b237-98527da2d886",,,,,"Lubelska Akademia WSEI","2022-10-25",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2001-02-23","Działająca","2001-02-23","zawodowa","2001-02-23","ul. Projektowa 4, 20-209 Lublin, woj. lubelskie, Polska","2001-02-23"
"97","f4dd5e8d-c071-4ec2-a048-faf9c2aae76d","Lubelska Akademia WSEI","2001-02-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","432260703","7122652693","","107","196","","http://www.wsei.lublin.pl","sekretariat@wsei.lublin.pl","81 749 17 77","/wseilublin/SkrytkaESP","Polska","lubelskie","ul. Projektowa","4","20-209","Lublin","Mariusz Paździor - Pełniący obowiązki Rektora","c7aaa374-72b7-4f42-b237-98527da2d886",,,,,"Lubelska Akademia WSEI","2022-10-25",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2001-02-23","Działająca","2001-02-23","akademicka","2022-10-01","ul. Projektowa 4, 20-209 Lublin, woj. lubelskie, Polska","2001-02-23"
"98","f4dd5e8d-c071-4ec2-a048-faf9c2aae76d","Lubelska Akademia WSEI","2001-02-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","432260703","7122652693","","107","196","","http://www.wsei.lublin.pl","sekretariat@wsei.lublin.pl","81 749 17 77","/wseilublin/SkrytkaESP","Polska","lubelskie","ul. Projektowa","4","20-209","Lublin","Mariusz Paździor - Pełniący obowiązki Rektora","c7aaa374-72b7-4f42-b237-98527da2d886",,,,,"Wyższa Szkoła Ekonomii i Innowacji w Lublinie","2001-02-23",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2001-02-23","Działająca","2001-02-23","zawodowa","2001-02-23","ul. Projektowa 4, 20-209 Lublin, woj. lubelskie, Polska","2001-02-23"
"99","f4dd5e8d-c071-4ec2-a048-faf9c2aae76d","Lubelska Akademia WSEI","2001-02-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","432260703","7122652693","","107","196","","http://www.wsei.lublin.pl","sekretariat@wsei.lublin.pl","81 749 17 77","/wseilublin/SkrytkaESP","Polska","lubelskie","ul. Projektowa","4","20-209","Lublin","Mariusz Paździor - Pełniący obowiązki Rektora","c7aaa374-72b7-4f42-b237-98527da2d886",,,,,"Wyższa Szkoła Ekonomii i Innowacji w Lublinie","2001-02-23",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2001-02-23","Działająca","2001-02-23","akademicka","2022-10-01","ul. Projektowa 4, 20-209 Lublin, woj. lubelskie, Polska","2001-02-23"
"100","6c228298-0fe5-4bd9-ab9c-9195660bbbb8","Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera w Łodzi","1948-10-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275850","7240004952","","324","","","http://filmschool.lodz.pl","rektorat@filmschool.lodz.pl","42 27 55 814","iwokop23 (/iwokop23/SkrytkaESP/)","Polska","łódzkie","ul. Targowa","61/63","90-323","Łódź","Milenia Fiedler - Rektor","",,,,,"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera w Łodzi","1948-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1948-10-01","Działająca","1948-10-01","akademicka","1948-10-01","ul. Targowa 61/63, 90-323 Łódź, woj. łódzkie, Polska","1948-10-01"
"101","794ef8e5-f723-4f79-b710-8612c20f3f6d","Politechnika Białostocka","1949-12-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001672","5420208721","","260","","","http://pb.edu.pl/","rektorat@pb.edu.pl","(85) 7469010","/Politechnika-Bialostocka/SkrytkaESP","Polska","podlaskie","ul. Wiejska","45 A","15-351","Białystok","Marta Kosior-Kazberuk - Rektor","a0e8b635-18e1-4ad1-a682-a354292d0a9a",,,,,"Politechnika Białostocka","1949-12-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1949-12-01","Działająca","1949-12-01","akademicka","1949-12-01","ul. Wiejska 45 A, 15-351 Białystok, woj. podlaskie, Polska","1949-12-01"
"102","ad77ae28-a912-4f87-8be3-40ac466442c8","Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","1951-09-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001689","5540313107","","277","","","https://www.pbs.edu.pl","rektor@pbs.edu.pl","+48 52 3749444","/UTPBYDGOSZCZ/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Aleje Prof. Sylwestra Kaliskiego","7","85-796","Bydgoszcz","Marek Piotr Adamski - Rektor","",,,,,"Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","2021-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1951-09-01","Działająca","1951-09-01","akademicka","1951-09-01","ul. Aleje Prof. Sylwestra Kaliskiego 7, 85-796 Bydgoszcz, woj. kujawsko-pomorskie, Polska","1951-09-01"
"103","ad77ae28-a912-4f87-8be3-40ac466442c8","Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","1951-09-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001689","5540313107","","277","","","https://www.pbs.edu.pl","rektor@pbs.edu.pl","+48 52 3749444","/UTPBYDGOSZCZ/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Aleje Prof. Sylwestra Kaliskiego","7","85-796","Bydgoszcz","Marek Piotr Adamski - Rektor","",,,,,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy","1951-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1951-09-01","Działająca","1951-09-01","akademicka","1951-09-01","ul. Aleje Prof. Sylwestra Kaliskiego 7, 85-796 Bydgoszcz, woj. kujawsko-pomorskie, Polska","1951-09-01"
"104","4e6a4738-94c8-43ff-a800-3747632ca950","Politechnika Częstochowska","1949-11-30","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001643","5730111401","","261","","","http://www.pcz.pl","rektor@pcz.pl","34-325-04-98"," /PolitechnikaCzestochowska/SkrytkaESP","Polska","śląskie","ul. gen. Jana Henryka Dąbrowskiego","69","42-201","Częstochowa","Norbert Sczygiol - Rektor","17a47593-019d-428d-90dc-e50a7505d34d",,,,,"Politechnika Częstochowska","1949-11-30",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1949-11-30","Działająca","1949-11-30","akademicka","1949-11-30","ul. gen. Jana Henryka Dąbrowskiego 69, 42-201 Częstochowa, woj. śląskie, Polska","1949-11-30"
"105","76e7e103-e39c-48d6-8aa2-8fde70c50563","Politechnika Gdańska","1945-05-24","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001620","5840203593","","262","","","http://pg.edu.pl","rektor@pg.edu.pl","58 347 12 69","/politechnikagdanska/SkrytkaESP","Polska","pomorskie","ul. Gabriela Narutowicza","11/12","80-233","Gdańsk","Krzysztof Wilde - Rektor","8e569d13-a606-41a0-a6af-913d44188aec",,,,,"Politechnika Gdańska","1945-05-24",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1945-05-24","Działająca","1945-05-24","akademicka","1945-05-24","ul. Gabriela Narutowicza 11/12, 80-233 Gdańsk, woj. pomorskie, Polska","1945-05-24"
"106","b26a6014-ae33-445c-9ff8-49216dbc5587","Politechnika Koszalińska","1968-06-08","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001703","6690505168","","265","","","http://www.tu.koszalin.pl","jmr@tu.koszalin.pl","94 34 78 620","/politechnika_koszalinska/SkrytkaESP","Polska","zachodniopomorskie","ul. Śniadeckich","2","75-453","Koszalin","Danuta Zawadzka - Rektor","94c13f5b-e18d-4541-99e4-ba4e390fd626",,,,,"Politechnika Koszalińska","1968-06-08",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1968-06-08","Działająca","1968-06-08","akademicka","1968-06-08","ul. Śniadeckich 2, 75-453 Koszalin, woj. zachodniopomorskie, Polska","1968-06-08"
"107","7a7e1b21-0684-43f6-a0d6-5404df34ac74","Politechnika Krakowska im. Tadeusza Kościuszki","1945-04-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001560","6750006257","","266","","","http://www.pk.edu.pl","kancelaria@pk.edu.pl","+48126282200","/PolKrak/SkrytkaESP","Polska","małopolskie","ul. Warszawska","24","31-155","Kraków","Andrzej Szarata - Rektor","24da50c8-bd08-4ae8-86c8-340781ecb9ab",,,,,"Politechnika Krakowska im. Tadeusza Kościuszki","1945-04-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1945-04-01","Działająca","1945-04-01","akademicka","1945-04-01","ul. Warszawska 24, 31-155 Kraków, woj. małopolskie, Polska","1945-04-01"
"108","337ae4a1-4e95-456f-bc53-d8d54b952a53","Politechnika Lubelska","1953-05-13","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001726","7120104651","","268","","","http://www.pollub.pl","politechnika@pollub.pl","(81) 538 41 00","/PolLub/SkrytkaESP","Polska","lubelskie","ul. Nadbystrzycka","38d","20-618","Lublin","Zbigniew Pater - Rektor","bc3a4341-edbe-43ed-b45e-23417e85a9b8",,,,,"Politechnika Lubelska","1953-05-13",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1953-05-13","Działająca","1953-05-13","akademicka","1953-05-13","ul. Nadbystrzycka 38d, 20-618 Lublin, woj. lubelskie, Polska","1953-05-13"
"109","fa448bd2-74d9-47de-b11b-eba7e1938d12","Politechnika Łódzka","1945-05-24","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001583","7270021895","","269","","","http://www.p.lodz.pl","rector@adm.p.lodz.pl","42 631-20-02","/PolitLodz/SkrytkaESP","Polska","łódzkie","ul. Stefana Żeromskiego","116","90-924","Łódź","Krzysztof Jóźwik - Rektor","13916743-5b4c-4f5a-a994-e91f5033ee17",,,,,"Politechnika Łódzka","1945-05-24",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1945-05-24","Działająca","1945-05-24","akademicka","1945-05-24","ul. Stefana Żeromskiego 116, 90-924 Łódź, woj. łódzkie, Polska","1945-05-24"
"110","2499ad34-4d7a-48d2-8a89-7695b0f00427","Politechnika Morska w Szczecinie","1947-10-01","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145129","8510006388","","327","","","http://www.pm.szczecin.pl","rektor@pm.szczecin.pl","914809400","AKADEMIAMORSKASZCZEC","Polska","zachodniopomorskie","ul. Wały Chrobrego","1-2","70-500","Szczecin","WOJCIECH ŚLĄCZKA - Rektor","468ccbf1-67ae-42ce-a6f8-bae4b0631501",,,,,"Politechnika Morska w Szczecinie","2022-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Transportu, Budownictwa i Gospodarki Morskiej","1947-10-01","Działająca","1947-10-01","akademicka","1947-10-01","ul. Wały Chrobrego 1-2, 70-500 Szczecin, woj. zachodniopomorskie, Polska","1947-10-01"
"111","2499ad34-4d7a-48d2-8a89-7695b0f00427","Politechnika Morska w Szczecinie","1947-10-01","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145129","8510006388","","327","","","http://www.pm.szczecin.pl","rektor@pm.szczecin.pl","914809400","AKADEMIAMORSKASZCZEC","Polska","zachodniopomorskie","ul. Wały Chrobrego","1-2","70-500","Szczecin","WOJCIECH ŚLĄCZKA - Rektor","468ccbf1-67ae-42ce-a6f8-bae4b0631501",,,,,"Politechnika Morska w Szczecinie","2022-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Infrastruktury i Rozwoju","2013-11-27","Działająca","1947-10-01","akademicka","1947-10-01","ul. Wały Chrobrego 1-2, 70-500 Szczecin, woj. zachodniopomorskie, Polska","1947-10-01"
"112","2499ad34-4d7a-48d2-8a89-7695b0f00427","Politechnika Morska w Szczecinie","1947-10-01","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145129","8510006388","","327","","","http://www.pm.szczecin.pl","rektor@pm.szczecin.pl","914809400","AKADEMIAMORSKASZCZEC","Polska","zachodniopomorskie","ul. Wały Chrobrego","1-2","70-500","Szczecin","WOJCIECH ŚLĄCZKA - Rektor","468ccbf1-67ae-42ce-a6f8-bae4b0631501",,,,,"Politechnika Morska w Szczecinie","2022-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Gospodarki Morskiej i Żeglugi Śródlądowej","2015-11-16","Działająca","1947-10-01","akademicka","1947-10-01","ul. Wały Chrobrego 1-2, 70-500 Szczecin, woj. zachodniopomorskie, Polska","1947-10-01"
"113","2499ad34-4d7a-48d2-8a89-7695b0f00427","Politechnika Morska w Szczecinie","1947-10-01","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145129","8510006388","","327","","","http://www.pm.szczecin.pl","rektor@pm.szczecin.pl","914809400","AKADEMIAMORSKASZCZEC","Polska","zachodniopomorskie","ul. Wały Chrobrego","1-2","70-500","Szczecin","WOJCIECH ŚLĄCZKA - Rektor","468ccbf1-67ae-42ce-a6f8-bae4b0631501",,,,,"Politechnika Morska w Szczecinie","2022-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Infrastruktury (poprzednio MiB)","2021-02-25","Działająca","1947-10-01","akademicka","1947-10-01","ul. Wały Chrobrego 1-2, 70-500 Szczecin, woj. zachodniopomorskie, Polska","1947-10-01"
"114","2499ad34-4d7a-48d2-8a89-7695b0f00427","Politechnika Morska w Szczecinie","1947-10-01","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145129","8510006388","","327","","","http://www.pm.szczecin.pl","rektor@pm.szczecin.pl","914809400","AKADEMIAMORSKASZCZEC","Polska","zachodniopomorskie","ul. Wały Chrobrego","1-2","70-500","Szczecin","WOJCIECH ŚLĄCZKA - Rektor","468ccbf1-67ae-42ce-a6f8-bae4b0631501",,,,,"Akademia Morska w Szczecinie","1947-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Transportu, Budownictwa i Gospodarki Morskiej","1947-10-01","Działająca","1947-10-01","akademicka","1947-10-01","ul. Wały Chrobrego 1-2, 70-500 Szczecin, woj. zachodniopomorskie, Polska","1947-10-01"
"115","2499ad34-4d7a-48d2-8a89-7695b0f00427","Politechnika Morska w Szczecinie","1947-10-01","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145129","8510006388","","327","","","http://www.pm.szczecin.pl","rektor@pm.szczecin.pl","914809400","AKADEMIAMORSKASZCZEC","Polska","zachodniopomorskie","ul. Wały Chrobrego","1-2","70-500","Szczecin","WOJCIECH ŚLĄCZKA - Rektor","468ccbf1-67ae-42ce-a6f8-bae4b0631501",,,,,"Akademia Morska w Szczecinie","1947-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Infrastruktury i Rozwoju","2013-11-27","Działająca","1947-10-01","akademicka","1947-10-01","ul. Wały Chrobrego 1-2, 70-500 Szczecin, woj. zachodniopomorskie, Polska","1947-10-01"
"116","2499ad34-4d7a-48d2-8a89-7695b0f00427","Politechnika Morska w Szczecinie","1947-10-01","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145129","8510006388","","327","","","http://www.pm.szczecin.pl","rektor@pm.szczecin.pl","914809400","AKADEMIAMORSKASZCZEC","Polska","zachodniopomorskie","ul. Wały Chrobrego","1-2","70-500","Szczecin","WOJCIECH ŚLĄCZKA - Rektor","468ccbf1-67ae-42ce-a6f8-bae4b0631501",,,,,"Akademia Morska w Szczecinie","1947-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Gospodarki Morskiej i Żeglugi Śródlądowej","2015-11-16","Działająca","1947-10-01","akademicka","1947-10-01","ul. Wały Chrobrego 1-2, 70-500 Szczecin, woj. zachodniopomorskie, Polska","1947-10-01"
"117","2499ad34-4d7a-48d2-8a89-7695b0f00427","Politechnika Morska w Szczecinie","1947-10-01","Minister Infrastruktury (poprzednio MiB)","Uczelnia publiczna","Nie","","","","akademicka","","000145129","8510006388","","327","","","http://www.pm.szczecin.pl","rektor@pm.szczecin.pl","914809400","AKADEMIAMORSKASZCZEC","Polska","zachodniopomorskie","ul. Wały Chrobrego","1-2","70-500","Szczecin","WOJCIECH ŚLĄCZKA - Rektor","468ccbf1-67ae-42ce-a6f8-bae4b0631501",,,,,"Akademia Morska w Szczecinie","1947-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Infrastruktury (poprzednio MiB)","2021-02-25","Działająca","1947-10-01","akademicka","1947-10-01","ul. Wały Chrobrego 1-2, 70-500 Szczecin, woj. zachodniopomorskie, Polska","1947-10-01"
